% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=424711, Thu Mar  9 12:22:19 2023, <python>{}</python>
1 6 0.4985798995430356 0 0 0.4974559975998658 0.46373646693890447
2 12 0.5487419978742545 0 0 0.5777117827331631 0.4937449896813267
3 18 0.5455907088004385 0 0 0.5406443334191104 0.4443405447658973
4 24 0.7009342201192986 0 0 0.7330459853676319 0.682975106041335
5 30 1.0498058668743264 0 0 1.1062386778474687 1.054171892137314
6 36 1.5983660036331802 0 0 1.5131507500206378 1.7313658070636808
7 42 2.049710923986586 0 0 1.9827449550083864 2.023822245690195
8 48 2.4786522613482793 0 0 2.4108211174402365 2.5286501824773704
9 54 2.4594011018808746 0 0 2.0342583674639636 2.3969473826133645
10 60 1.8414272671073444 0 0 1.3197802102163911 1.4860064306924254
11 66 1.506479384742817 0 0 0.9233548161844803 1.1124927087376404
12 72 1.4666385355660705 0 0 0.9601092835184737 0.903386219136762
13 78 1.2591838908137782 0 0 0.7940287254376305 0.7116648145369509
14 84 0.9775346386000849 0 0 0.5850226732171704 0.4483506748066801
15 90 1.0646258644032363 0 0 0.5369436452117142 0.5599573951767535
16 96 0.7780320974100261 0 0 0.3235911508341321 0.3918906236035847
17 102 0.5865742686790849 0 0 0.21503151814453192 0.2709165236715819
18 108 0.6314159306023553 0 0 0.23559390550495007 0.28513304852257404
19 114 0.6590022752652133 0 0 0.23291080504813313 0.296411501402841
20 120 0.6209450150325109 0 0 0.20281386903731727 0.262364386210567
21 126 0.5482908528239786 0 0 0.17889379355251858 0.18958539510507075
22 132 0.5069935301136322 0 0 0.16804748740944334 0.15658146488011165
23 138 0.36465539565071825 0 0 0.09588007527265134 0.1076907464465114
24 144 0.4107941157736343 0 0 0.11386613359006828 0.11682580982921607
25 150 0.3951520221100777 0 0 0.10558400503889814 0.10322309968591971
26 156 0.4467666643535655 0 0 0.11767262847327564 0.1252875320737565
27 162 0.3728227320226866 0 0 0.0841487951562509 0.09895124507882638
28 168 0.29183229663787974 0 0 0.05561010561302503 0.07030702695463338
29 174 0.2315617122738516 0 0 0.04140472597062998 0.047400598044863684
30 180 0.17897433235785906 0 0 0.031104136571602468 0.029461593665895916
31 186 0.1458029890824274 0 0 0.022415637275036458 0.021618827828687872
32 192 0.13256673241267655 0 0 0.01937667996255548 0.01745830528089314
33 198 0.13276306784313197 0 0 0.017172001035175063 0.018783871008830968
34 204 0.10874071650388256 0 0 0.012297327999564144 0.013856321652106738
35 210 0.08705653626251138 0 0 0.008527206349429634 0.010057365855103891
36 216 0.06335059823653519 0 0 0.005162419147311009 0.006739164266635586
37 222 0.05881266306221462 0 0 0.004686697648528289 0.005737944845046376
38 228 0.057127727221576906 0 0 0.004586476934724075 0.004899784468539108
39 234 0.04631683218796898 0 0 0.0034370219959349874 0.0033524333849458423
40 240 0.045182213347023964 0 0 0.0030168717813630714 0.0034378763422648873
41 246 0.03476677664961316 0 0 0.002102431645405395 0.002409262516653533
42 252 0.02874204243534778 0 0 0.0015067684815168153 0.0016776660458288346
43 258 0.02235263984591293 0 0 0.001033592694681106 0.0011381958373227908
44 264 0.021127952079375876 0 0 0.0008975538311315482 0.0010851945967751701
45 270 0.017624031935554736 0 0 0.0006988108628209912 0.0007753965143692925
46 276 0.013245329795310786 0 0 0.0004613556506983631 0.0005038377969553993
47 282 0.010195366683684974 0 0 0.0003161321860002987 0.0003367754919669613
48 288 0.007683985921141291 0 0 0.00020675947990436995 0.00023694890325104566
49 294 0.006726376998553383 0 0 0.00015913723152432207 0.00020149532773911064
50 300 0.005209137126098877 0 0 0.00011520492750553812 0.0001267582607471434
50 300 0.005209137126098877 0 0 0.00011520492750553812 0.0001267582607471434
